
1623982858.740061,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2OVX9UW5WANQE'}
1623982859.353809,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2OVX9UW5WANQE'}
1623982860.277609,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2OVX9UW5WANQE'}
1623982860.889966,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OVX9UW5WANQE'}
1623982861.8142,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OVX9UW5WANQE'}
1623982862.424999,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OVX9UW5WANQE'}
1623982863.038682,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OVX9UW5WANQE'}
1623982863.962588,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVX9UW5WANQE'}
1623982864.577099,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVX9UW5WANQE'}
1623982865.371717,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OVX9UW5WANQE'}
1623982866.114612,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OVX9UW5WANQE'}
1623982866.727599,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OVX9UW5WANQE'}
1623982867.342963,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OVX9UW5WANQE'}
1623982867.588345,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2OVX9UW5WANQE'}
1623982868.572428,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2OVX9UW5WANQE'}
1623982870.107465,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2OVX9UW5WANQE'}
1623982870.108379,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2OVX9UW5WANQE'}
1623982900.21644,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2OVX9UW5WANQE'}
1623982902.362797,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVX9UW5WANQE'}
1623982903.896252,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVX9UW5WANQE'}
1623982906.665569,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVX9UW5WANQE'}
1623982906.975034,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVX9UW5WANQE'}
1623982907.585089,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVX9UW5WANQE'}
1623982908.814291,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OVX9UW5WANQE'}
1623982910.042465,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2OVX9UW5WANQE'}
1623982910.962149,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2OVX9UW5WANQE'}
1623982911.57882,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2OVX9UW5WANQE'}
1623982912.193108,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2OVX9UW5WANQE'}
1623982913.114261,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OVX9UW5WANQE'}
1623982913.729155,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OVX9UW5WANQE'}
1623982914.341323,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OVX9UW5WANQE'}
1623982915.266201,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVX9UW5WANQE'}
1623982915.58048,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2OVX9UW5WANQE'}
1623982916.188202,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OVX9UW5WANQE'}
1623982916.802491,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OVX9UW5WANQE'}
1623982918.029077,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2OVX9UW5WANQE'}
1623982918.64396,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OVX9UW5WANQE'}
1623982919.25865,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OVX9UW5WANQE'}
1623982920.486257,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2OVX9UW5WANQE'}
1623982920.486952,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2OVX9UW5WANQE'}
