
1624229958.302824,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AXY0D2AMLKE2A'}
1624229958.330173,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AXY0D2AMLKE2A'}
1624229959.223402,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AXY0D2AMLKE2A'}
1624229959.843976,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AXY0D2AMLKE2A'}
1624229960.029938,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AXY0D2AMLKE2A'}
1624229970.896233,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AXY0D2AMLKE2A'}
1624229972.434871,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AXY0D2AMLKE2A'}
1624229972.636172,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AXY0D2AMLKE2A'}
1624229973.354019,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AXY0D2AMLKE2A'}
1624229973.969946,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXY0D2AMLKE2A'}
1624229974.028821,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXY0D2AMLKE2A'}
1624229974.583712,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXY0D2AMLKE2A'}
1624229975.504441,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXY0D2AMLKE2A'}
1624229975.505769,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXY0D2AMLKE2A'}
1624229976.050029,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXY0D2AMLKE2A'}
1624229976.731921,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXY0D2AMLKE2A'}
1624229977.345062,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXY0D2AMLKE2A'}
1624229977.95926,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AXY0D2AMLKE2A'}
1624229978.266882,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AXY0D2AMLKE2A'}
1624229978.883111,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AXY0D2AMLKE2A'}
