
1624235828.439502,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235829.836508,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235829.839093,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235831.371081,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235832.294787,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235832.324784,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235862.394807,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235863.454854,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235864.241278,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235864.341363,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235865.775052,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235865.776078,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235866.388867,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235867.308939,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235867.923171,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235868.538814,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235869.152124,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235869.76641,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235870.278025,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235870.997043,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235871.611851,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235872.223136,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235872.837672,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235873.384897,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235874.375378,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235874.42235,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235875.603158,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1YXKN5ATSR5I1'}
