
1625192137.56473,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192138.248906,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192138.868081,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192139.229589,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192139.702171,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192140.709803,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192141.37032,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192142.550818,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192143.364359,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192144.413829,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192144.487829,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192174.496116,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192177.876921,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192178.900767,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192178.998776,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192180.026848,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3T7Y10HHQ1VLL'}
