
1624151782.000727,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A15CYEEX5TXYBB'}
1624151785.069564,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A15CYEEX5TXYBB'}
1624151786.302129,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A15CYEEX5TXYBB'}
1624151787.526964,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A15CYEEX5TXYBB'}
1624151788.449248,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A15CYEEX5TXYBB'}
1624151789.779756,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A15CYEEX5TXYBB'}
1624151789.848573,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A15CYEEX5TXYBB'}
1624151790.906144,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A15CYEEX5TXYBB'}
1624151792.135529,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A15CYEEX5TXYBB'}
1624151792.27621,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A15CYEEX5TXYBB'}
1624151794.289245,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A15CYEEX5TXYBB'}
1624151795.212032,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A15CYEEX5TXYBB'}
1624151796.440273,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A15CYEEX5TXYBB'}
