
1624039277.965615,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039278.578234,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039279.50037,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039280.114149,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039281.343431,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039282.88113,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039284.108426,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039284.112098,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039314.522802,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039355.378359,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039355.754562,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039356.609568,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039357.222931,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039357.838415,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039358.45204,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039358.669095,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039359.991142,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039360.599776,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039360.805458,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039361.83075,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039362.443405,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039363.365224,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039364.287685,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1GTMV7M3JGNVC'}
