
1614298174.652217,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298175.127062,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298176.170856,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298176.90184,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298177.424103,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298178.000949,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298178.573282,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298179.304251,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298179.932221,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298180.337181,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298180.972504,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298181.412949,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298182.020869,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298182.543894,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298182.972201,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'ALXW2ZXX4SJRO'}
