
1617487466.795903,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AUB6V4HVL1O45'}
1617487469.119886,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AUB6V4HVL1O45'}
1617487469.822471,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AUB6V4HVL1O45'}
1617487476.41329,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AUB6V4HVL1O45'}
1617487477.76026,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AUB6V4HVL1O45'}
1617487478.44926,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AUB6V4HVL1O45'}
1617487479.225256,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AUB6V4HVL1O45'}
1617487480.476356,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AUB6V4HVL1O45'}
1617487482.041352,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AUB6V4HVL1O45'}
1617487482.778869,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AUB6V4HVL1O45'}
1617487484.449881,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AUB6V4HVL1O45'}
1617487485.176031,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AUB6V4HVL1O45'}
1617487485.40872,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AUB6V4HVL1O45'}
1617487486.127306,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AUB6V4HVL1O45'}
1617487487.266205,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AUB6V4HVL1O45'}
1617487487.999719,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AUB6V4HVL1O45'}
