
1624831868.359734,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831868.558133,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831868.799351,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831869.994947,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831870.203502,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831870.817177,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831872.352975,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'APDDA1Y59RHV9'}
1624831872.692959,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'APDDA1Y59RHV9'}
1624831874.60317,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'APDDA1Y59RHV9'}
1624831875.582254,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'APDDA1Y59RHV9'}
1624831876.144783,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'APDDA1Y59RHV9'}
1624831877.578171,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'APDDA1Y59RHV9'}
1624831879.109646,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'APDDA1Y59RHV9'}
1624831880.340203,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'APDDA1Y59RHV9'}
1624831880.501103,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'APDDA1Y59RHV9'}
1624831881.052731,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'APDDA1Y59RHV9'}
1624831882.20237,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'APDDA1Y59RHV9'}
1624831882.766354,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'APDDA1Y59RHV9'}
1624831883.06777,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'APDDA1Y59RHV9'}
1624831884.345133,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'APDDA1Y59RHV9'}
1624831884.948291,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'APDDA1Y59RHV9'}
1624831886.273531,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'APDDA1Y59RHV9'}
1624831886.78886,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'APDDA1Y59RHV9'}
1624831889.247188,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'APDDA1Y59RHV9'}
1624831889.337933,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'APDDA1Y59RHV9'}
1624831919.355916,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'APDDA1Y59RHV9'}
1624831923.352015,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'APDDA1Y59RHV9'}
1624831924.579852,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'APDDA1Y59RHV9'}
1624831924.982171,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'APDDA1Y59RHV9'}
1624831926.111983,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831926.281512,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831926.92892,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831927.131616,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831927.6521,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831928.573189,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'APDDA1Y59RHV9'}
1624831929.491387,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831930.15657,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'APDDA1Y59RHV9'}
1624831931.113951,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'APDDA1Y59RHV9'}
1624831932.255371,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'APDDA1Y59RHV9'}
1624831932.988696,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'APDDA1Y59RHV9'}
1624831933.802229,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'APDDA1Y59RHV9'}
1624831934.407528,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'APDDA1Y59RHV9'}
1624831935.940926,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'APDDA1Y59RHV9'}
1624831937.174311,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'APDDA1Y59RHV9'}
1624831938.091002,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'APDDA1Y59RHV9'}
1624831939.321204,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'APDDA1Y59RHV9'}
1624831939.940548,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'APDDA1Y59RHV9'}
1624831940.608166,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'APDDA1Y59RHV9'}
1624831942.087592,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'APDDA1Y59RHV9'}
1624831942.089029,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'APDDA1Y59RHV9'}
1624831971.884495,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'APDDA1Y59RHV9'}
1624831974.654767,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'APDDA1Y59RHV9'}
1624831974.979606,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'APDDA1Y59RHV9'}
1624831976.803202,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'APDDA1Y59RHV9'}
1624831977.722597,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'APDDA1Y59RHV9'}
1624831978.651968,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'APDDA1Y59RHV9'}
1624831979.566892,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'APDDA1Y59RHV9'}
1624831980.799118,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'APDDA1Y59RHV9'}
1624831981.458991,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'APDDA1Y59RHV9'}
1624831982.335729,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'APDDA1Y59RHV9'}
1624831983.55796,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'APDDA1Y59RHV9'}
1624831983.917094,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'APDDA1Y59RHV9'}
1624831984.480973,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'APDDA1Y59RHV9'}
1624831986.018566,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831986.632892,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'APDDA1Y59RHV9'}
1624831987.55432,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'APDDA1Y59RHV9'}
1624831988.475274,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831989.39681,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'APDDA1Y59RHV9'}
1624831990.31891,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'APDDA1Y59RHV9'}
1624831990.932969,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'APDDA1Y59RHV9'}
1624831991.958283,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'APDDA1Y59RHV9'}
1624831992.60135,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'APDDA1Y59RHV9'}
1624831993.698407,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'APDDA1Y59RHV9'}
1624831995.542296,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'APDDA1Y59RHV9'}
1624831995.641031,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'APDDA1Y59RHV9'}
1624832025.654243,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'APDDA1Y59RHV9'}
1624832027.768814,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624832028.415753,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624832028.71796,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624832029.951887,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'APDDA1Y59RHV9'}
1624832030.106883,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'APDDA1Y59RHV9'}
1624832031.722125,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'APDDA1Y59RHV9'}
1624832031.81351,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'APDDA1Y59RHV9'}
1624832033.020857,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'APDDA1Y59RHV9'}
1624832033.635974,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'APDDA1Y59RHV9'}
1624832034.770983,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'APDDA1Y59RHV9'}
1624832035.44728,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'APDDA1Y59RHV9'}
1624832036.708209,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'APDDA1Y59RHV9'}
1624832037.322978,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'APDDA1Y59RHV9'}
1624832038.551254,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624832039.473128,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'APDDA1Y59RHV9'}
1624832040.088109,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'APDDA1Y59RHV9'}
1624832040.700898,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'APDDA1Y59RHV9'}
1624832041.827301,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'APDDA1Y59RHV9'}
1624832042.335797,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'APDDA1Y59RHV9'}
1624832043.360295,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'APDDA1Y59RHV9'}
1624832044.385695,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'APDDA1Y59RHV9'}
1624832045.48148,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'APDDA1Y59RHV9'}
1624832045.483083,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'APDDA1Y59RHV9'}
1624832075.501063,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'APDDA1Y59RHV9'}
1624832084.019067,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'APDDA1Y59RHV9'}
1624832084.020037,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'APDDA1Y59RHV9'}
1624832087.153094,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'APDDA1Y59RHV9'}
1624832087.70581,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'APDDA1Y59RHV9'}
