
1624839332.726058,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839333.340931,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839333.955963,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839334.198808,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839335.282843,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839335.46997,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839335.806695,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839336.002758,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839336.719487,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839336.72262,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839337.026869,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839337.338183,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839337.675264,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839338.256756,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839338.309613,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839338.665601,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839339.481879,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839339.889844,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839345.933866,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839345.934796,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839375.77882,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839377.578428,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839377.64114,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839378.358284,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839379.729419,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839380.566612,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839381.265454,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839382.023583,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839384.176574,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839384.967036,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839385.565526,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839385.88041,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839386.486078,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839386.793326,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839386.952413,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839387.143399,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839387.409715,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839387.61338,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839388.026617,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839388.210793,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839388.530965,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839388.944348,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839389.559925,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1GZ4Y5HNBTCES'}
