
1617480695.73978,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A34MXCHJVM6ENI'}
1617480696.208492,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34MXCHJVM6ENI'}
1617480697.293609,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34MXCHJVM6ENI'}
1617480698.546869,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A34MXCHJVM6ENI'}
1617480699.068469,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A34MXCHJVM6ENI'}
1617480700.531585,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A34MXCHJVM6ENI'}
1617480700.680185,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A34MXCHJVM6ENI'}
1617480730.926738,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A34MXCHJVM6ENI'}
1617480742.624761,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34MXCHJVM6ENI'}
1617480744.191366,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34MXCHJVM6ENI'}
1617480746.907025,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34MXCHJVM6ENI'}
1617480747.624796,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A34MXCHJVM6ENI'}
1617480748.683325,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34MXCHJVM6ENI'}
1617480749.622524,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A34MXCHJVM6ENI'}
1617480750.562682,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34MXCHJVM6ENI'}
1617480751.607664,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A34MXCHJVM6ENI'}
1617480751.877031,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A34MXCHJVM6ENI'}
1617480752.755937,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A34MXCHJVM6ENI'}
1617480754.326975,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A34MXCHJVM6ENI'}
1617480755.68208,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34MXCHJVM6ENI'}
1617480782.524366,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34MXCHJVM6ENI'}
1617480782.958658,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A34MXCHJVM6ENI'}
1617480784.195257,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34MXCHJVM6ENI'}
1617480785.031174,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A34MXCHJVM6ENI'}
1617480788.376853,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A34MXCHJVM6ENI'}
1617480789.43263,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A34MXCHJVM6ENI'}
1617480794.118747,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A34MXCHJVM6ENI'}
1617480794.121643,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A34MXCHJVM6ENI'}
1617480824.163437,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A34MXCHJVM6ENI'}
1617480825.557894,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34MXCHJVM6ENI'}
1617480825.87095,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34MXCHJVM6ENI'}
1617480827.020278,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A34MXCHJVM6ENI'}
1617480827.438789,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A34MXCHJVM6ENI'}
1617480828.79643,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A34MXCHJVM6ENI'}
1617480829.002366,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A34MXCHJVM6ENI'}
