
1624778950.189977,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778951.1408,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778951.477741,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778951.642108,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778955.439931,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778955.744577,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778956.360098,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778960.047618,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778960.096654,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778960.278236,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778962.503368,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778962.5049,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778962.606244,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778963.012685,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778963.055134,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778964.653104,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10MSB9X1UFLJ5'}
