
1624835652.761191,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N66DKF3VNB9X'}
1624835653.403669,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N66DKF3VNB9X'}
1624835653.683208,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N66DKF3VNB9X'}
1624835655.218309,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N66DKF3VNB9X'}
1624835656.14148,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N66DKF3VNB9X'}
1624835656.382658,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N66DKF3VNB9X'}
1624835656.565162,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N66DKF3VNB9X'}
1624835657.786562,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N66DKF3VNB9X'}
1624835659.521146,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N66DKF3VNB9X'}
1624835662.897227,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3N66DKF3VNB9X'}
1624835667.51003,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3N66DKF3VNB9X'}
1624835668.430388,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N66DKF3VNB9X'}
1624835670.885261,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N66DKF3VNB9X'}
1624835671.500278,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N66DKF3VNB9X'}
1624835677.031581,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3N66DKF3VNB9X'}
1624835677.032375,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3N66DKF3VNB9X'}
1624835707.029407,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3N66DKF3VNB9X'}
1624835708.364578,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N66DKF3VNB9X'}
1624835709.286132,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N66DKF3VNB9X'}
1624835711.127922,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N66DKF3VNB9X'}
