
1625193598.982408,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AW0ONSTZE01AW'}
1625193599.291626,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AW0ONSTZE01AW'}
1625193600.212657,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0ONSTZE01AW'}
1625193600.460611,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AW0ONSTZE01AW'}
1625193601.140055,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AW0ONSTZE01AW'}
1625193608.426228,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AW0ONSTZE01AW'}
1625193609.120625,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0ONSTZE01AW'}
1625193609.73511,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AW0ONSTZE01AW'}
1625193610.964348,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AW0ONSTZE01AW'}
1625193611.428955,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AW0ONSTZE01AW'}
1625193613.744078,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0ONSTZE01AW'}
1625193613.988633,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AW0ONSTZE01AW'}
1625193614.651827,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AW0ONSTZE01AW'}
1625193614.965106,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AW0ONSTZE01AW'}
1625193615.88414,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0ONSTZE01AW'}
1625193616.098054,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AW0ONSTZE01AW'}
1625193616.800805,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AW0ONSTZE01AW'}
1625193617.414035,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0ONSTZE01AW'}
1625193618.03335,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AW0ONSTZE01AW'}
1625193619.56465,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AW0ONSTZE01AW'}
1625193620.18025,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AW0ONSTZE01AW'}
1625193621.409881,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AW0ONSTZE01AW'}
1625193622.946084,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0ONSTZE01AW'}
1625193623.86793,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AW0ONSTZE01AW'}
1625193624.482022,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AW0ONSTZE01AW'}
1625193625.528564,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AW0ONSTZE01AW'}
1625193626.323797,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AW0ONSTZE01AW'}
1625193627.248987,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0ONSTZE01AW'}
1625193628.227094,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AW0ONSTZE01AW'}
1625193629.089947,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AW0ONSTZE01AW'}
1625193629.70126,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AW0ONSTZE01AW'}
1625193630.94347,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0ONSTZE01AW'}
1625193632.160389,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AW0ONSTZE01AW'}
1625193632.161832,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AW0ONSTZE01AW'}
1625193637.32458,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0ONSTZE01AW'}
1625193638.286723,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AW0ONSTZE01AW'}
1625193639.224675,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AW0ONSTZE01AW'}
1625193639.535125,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AW0ONSTZE01AW'}
1625193641.070856,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0ONSTZE01AW'}
1625193641.495075,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AW0ONSTZE01AW'}
1625193642.299048,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AW0ONSTZE01AW'}
1625193643.526272,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0ONSTZE01AW'}
1625193644.141766,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AW0ONSTZE01AW'}
1625193644.445234,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AW0ONSTZE01AW'}
1625193645.065316,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AW0ONSTZE01AW'}
1625193645.676596,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AW0ONSTZE01AW'}
1625193646.292966,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0ONSTZE01AW'}
1625193647.212783,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AW0ONSTZE01AW'}
1625193647.215201,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AW0ONSTZE01AW'}
1625193649.364877,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AW0ONSTZE01AW'}
1625193649.365874,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AW0ONSTZE01AW'}
1625193653.359272,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AW0ONSTZE01AW'}
1625193653.764212,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AW0ONSTZE01AW'}
1625193654.283209,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AW0ONSTZE01AW'}
1625193654.893608,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0ONSTZE01AW'}
1625193655.506525,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AW0ONSTZE01AW'}
1625193656.124944,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0ONSTZE01AW'}
1625193656.741534,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AW0ONSTZE01AW'}
1625193656.742478,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AW0ONSTZE01AW'}
1625193664.726638,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AW0ONSTZE01AW'}
