
1625105768.621262,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105769.652499,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105769.955984,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105770.570339,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105771.190968,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105771.358929,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105772.10757,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105772.722423,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105774.256408,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105774.873408,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105776.405383,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105776.406264,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105806.205686,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105807.972812,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105808.663877,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105809.277341,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105809.319855,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105810.505915,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105810.506637,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105811.123732,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105811.321808,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105812.348568,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105812.348051,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105812.965402,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105813.089623,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105813.984152,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3A7XE8L9Q1WZF'}
