
1616770853.032116,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AC5UD8N187QD6'}
1616770858.482025,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AC5UD8N187QD6'}
1616770858.644413,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AC5UD8N187QD6'}
1616770860.571079,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AC5UD8N187QD6'}
1616770861.511083,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AC5UD8N187QD6'}
1616770861.841306,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AC5UD8N187QD6'}
1616770862.451889,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AC5UD8N187QD6'}
1616770865.689044,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AC5UD8N187QD6'}
1616770866.942384,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AC5UD8N187QD6'}
1616770867.568684,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AC5UD8N187QD6'}
1616770868.721041,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AC5UD8N187QD6'}
1616770869.031581,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AC5UD8N187QD6'}
1616770870.912499,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AC5UD8N187QD6'}
1616770870.913658,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AC5UD8N187QD6'}
1616770901.096469,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AC5UD8N187QD6'}
1616770902.575059,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AC5UD8N187QD6'}
1616770902.97733,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AC5UD8N187QD6'}
1616770904.178451,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AC5UD8N187QD6'}
1616770904.544285,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AC5UD8N187QD6'}
1616770905.487182,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AC5UD8N187QD6'}
1616770906.424432,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AC5UD8N187QD6'}
1616770906.517781,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AC5UD8N187QD6'}
1616770908.200841,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AC5UD8N187QD6'}
1616770908.514937,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AC5UD8N187QD6'}
1616770909.767555,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AC5UD8N187QD6'}
1616770912.900735,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AC5UD8N187QD6'}
1616770912.902138,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AC5UD8N187QD6'}
1616770942.8774,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AC5UD8N187QD6'}
1616770944.757918,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AC5UD8N187QD6'}
1616770945.456596,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AC5UD8N187QD6'}
1616770946.011633,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AC5UD8N187QD6'}
1616770946.950779,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AC5UD8N187QD6'}
1616770947.579688,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AC5UD8N187QD6'}
1616770948.622598,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AC5UD8N187QD6'}
1616770949.144161,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AC5UD8N187QD6'}
1616770950.087899,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AC5UD8N187QD6'}
1616770950.711538,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AC5UD8N187QD6'}
1616770953.218948,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AC5UD8N187QD6'}
1616770954.053948,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AC5UD8N187QD6'}
1616770954.99319,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AC5UD8N187QD6'}
1616770957.858456,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AC5UD8N187QD6'}
1616770958.440471,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AC5UD8N187QD6'}
1616770959.589775,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AC5UD8N187QD6'}
1616770960.529072,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AC5UD8N187QD6'}
1616770962.200562,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AC5UD8N187QD6'}
