
1617334566.764166,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2LQ9NP944M61Z'}
1617334567.794501,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2LQ9NP944M61Z'}
1617334568.542257,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2LQ9NP944M61Z'}
1617334568.852786,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2LQ9NP944M61Z'}
1617334569.688638,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2LQ9NP944M61Z'}
1617334570.636492,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2LQ9NP944M61Z'}
1617334572.614809,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2LQ9NP944M61Z'}
1617334572.615526,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2LQ9NP944M61Z'}
1617334573.365259,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2LQ9NP944M61Z'}
1617334574.075877,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2LQ9NP944M61Z'}
1617334575.016679,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2LQ9NP944M61Z'}
1617334575.537808,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2LQ9NP944M61Z'}
1617334576.165007,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2LQ9NP944M61Z'}
1617334576.791104,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2LQ9NP944M61Z'}
1617334577.417795,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2LQ9NP944M61Z'}
1617334577.549468,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2LQ9NP944M61Z'}
1617334577.939958,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2LQ9NP944M61Z'}
1617334578.566635,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2LQ9NP944M61Z'}
1617334580.029598,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2LQ9NP944M61Z'}
1617334580.030555,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2LQ9NP944M61Z'}
1617334610.006305,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2LQ9NP944M61Z'}
1617334611.25978,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2LQ9NP944M61Z'}
1617334611.57442,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2LQ9NP944M61Z'}
1617334612.199505,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2LQ9NP944M61Z'}
1617334612.291669,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2LQ9NP944M61Z'}
1617334613.035105,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2LQ9NP944M61Z'}
1617334613.457637,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2LQ9NP944M61Z'}
1617334614.07961,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2LQ9NP944M61Z'}
1617334614.392844,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2LQ9NP944M61Z'}
1617334615.019644,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2LQ9NP944M61Z'}
1617334615.333095,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2LQ9NP944M61Z'}
1617334615.541808,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2LQ9NP944M61Z'}
1617334616.168799,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2LQ9NP944M61Z'}
1617334616.586437,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2LQ9NP944M61Z'}
1617334617.526615,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2LQ9NP944M61Z'}
1617334618.153742,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2LQ9NP944M61Z'}
1617334618.154788,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2LQ9NP944M61Z'}
1617334618.780407,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2LQ9NP944M61Z'}
1617334619.093503,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2LQ9NP944M61Z'}
1617334619.262346,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2LQ9NP944M61Z'}
1617334619.826588,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2LQ9NP944M61Z'}
1617334620.557065,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2LQ9NP944M61Z'}
