
1620955369.548183,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955370.26024,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955371.696021,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955371.858084,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955372.41219,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955373.543494,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955373.546611,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955373.953273,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955382.752609,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955383.071078,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955383.77585,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955386.014897,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955386.01609,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955416.249355,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955423.309141,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955423.309764,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955453.412619,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955460.485977,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955460.685735,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955461.40344,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955461.50553,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955462.017099,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955463.036149,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955463.246026,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955463.964054,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955464.78269,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955464.965861,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955465.40015,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955465.705071,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955466.317669,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955467.114909,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955467.475972,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955468.468941,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955469.08368,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955469.390507,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955470.001938,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955470.614359,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955470.727254,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955471.852005,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955472.25057,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955472.559965,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955473.077105,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955473.690592,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955475.631402,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955475.82827,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955476.45606,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955477.782872,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OO4PG3LBLP5I'}
