
1629821470.440828,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '9705'}
1629821470.444436,9705,{'stage': 'object tracking', 'result': [1, 2, 3, 2, 3, 3, 3], 'worker-id': '9705'}
1629821470.476484,9705,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '9705'}
1629821470.477406,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': '9705'}
1629821749.878476,9705,{'stage': 'SAGAT', 'action': 'opened-page', 'worker-id': '9705'}
1629821749.879755,9705,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '9705'}
1629821770.964494,9705,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': '9705'}
1629821770.965694,9705,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': '9705'}
1629821865.782622,9705,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': '9705'}
1629821865.783078,9705,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': '9705'}
1629821865.783788,9705,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '9705'}
1629821873.635547,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9705'}
1629821874.031538,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9705'}
1629821874.765093,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9705'}
1629821875.482163,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9705'}
1629821875.874364,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9705'}
1629821876.303822,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9705'}
1629821877.079722,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '9705'}
1629821877.265083,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '9705'}
1629821877.593304,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '9705'}
1629821877.897116,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '9705'}
1629821878.943445,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9705'}
1629821879.360315,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9705'}
1629821879.44369,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9705'}
1629821879.528539,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9705'}
1629821880.793985,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9705'}
1629821880.939757,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9705'}
1629821881.333151,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9705'}
1629821881.46096,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9705'}
1629821881.914243,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9705'}
1629821882.048634,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9705'}
1629821882.198731,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9705'}
1629821882.724847,9705,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9705'}
