
1616801550.857697,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801550.960291,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801551.827318,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801552.529631,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801552.738932,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801553.051919,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801553.783098,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801554.20033,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801554.514342,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801555.769153,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801555.887302,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801556.351108,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801557.020427,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801557.334183,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801557.648107,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801558.381659,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801558.692168,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801559.005634,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801560.15498,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801560.155455,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801561.303448,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801561.3101,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801562.143233,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801562.27805,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801562.556445,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801563.184075,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801563.392826,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801563.615775,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801564.326175,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2TRFQJKZU9NB3'}
