
1619890421.726321,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890421.72734,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890422.560722,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890423.026283,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890423.603802,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890423.812813,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890424.021891,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890424.335471,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890424.590831,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890424.857306,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890425.485179,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890425.486261,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890425.89144,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890426.528571,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890426.946609,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890427.468845,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890429.662424,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890429.664248,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2IP3ZAFYGV8M9'}
