
1617310856.859975,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310857.486896,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310858.218031,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310858.471027,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310859.785649,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310859.9932,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310860.411135,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310860.620824,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310861.142624,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310865.42534,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310870.751434,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310872.247536,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310872.527272,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310873.364221,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310873.456703,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310874.418359,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310874.42031,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310904.288185,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310906.475979,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310906.682643,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310908.122897,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310908.267151,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310909.044796,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310909.50273,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310910.756082,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310911.071277,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310911.595043,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310912.635805,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310913.18765,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310913.785505,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310914.725926,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310914.838901,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310915.418707,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310916.082671,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310916.604935,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310917.233411,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310917.649587,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310918.276196,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310918.798285,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310919.322034,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310920.157373,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310920.159654,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310950.029349,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310951.282551,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310951.987751,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310955.147467,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310957.65396,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310959.326378,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310959.63829,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310961.101328,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310962.14552,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310962.727189,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310963.631069,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310964.234613,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310964.860638,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310965.069787,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310966.11619,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310967.576999,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310967.994171,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310968.568591,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310969.083583,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310969.561156,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2KHMKJUVDMK1N'}
