
1630332890.389633,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '6600'}
1630332891.538288,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '6600'}
1630332892.353428,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '6600'}
1630332922.459206,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '6600'}
1630332924.753495,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '6600'}
1630332925.905908,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '6600'}
1630332926.709092,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
1630332926.966753,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
1630332927.953849,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '6600'}
1630332928.307182,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '6600'}
1630332929.1866,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '6600'}
1630332930.354014,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '6600'}
1630332931.511055,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '6600'}
1630332932.067032,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '6600'}
1630332932.588322,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '6600'}
1630332933.215466,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '6600'}
1630332933.481217,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '6600'}
1630332934.573886,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '6600'}
1630332935.430441,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '6600'}
1630332936.352433,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '6600'}
1630332936.974185,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '6600'}
1630332937.707069,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '6600'}
1630332938.321619,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '6600'}
1630332939.018532,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '6600'}
1630332939.539627,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '6600'}
1630332940.146652,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '6600'}
1630332941.368767,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '6600'}
1630332944.456292,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '6600'}
1630332945.168315,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '6600'}
1630332946.698807,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '6600'}
1630332976.901508,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '6600'}
1630332979.482195,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '6600'}
1630332979.951483,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '6600'}
1630332980.424525,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '6600'}
1630332981.646192,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '6600'}
1630332982.007569,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '6600'}
1630332982.366759,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '6600'}
1630332983.542482,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '6600'}
1630332984.600795,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
1630332985.127361,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
1630332985.362111,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
1630332985.759008,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
1630332986.06757,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
1630332987.158278,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '6600'}
1630332987.16345,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '6600'}
1630332988.789178,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '6600'}
1630332989.335223,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '6600'}
1630332991.242023,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '6600'}
1630332993.636589,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '6600'}
1630332993.810436,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '6600'}
1630332994.63434,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '6600'}
1630332995.275481,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '6600'}
1630332995.706684,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '6600'}
1630332997.233485,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '6600'}
1630332998.430615,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '6600'}
1630332999.854334,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '6600'}
