
1623627949.369594,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A353XKDTUX10NC'}
1623627949.984018,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A353XKDTUX10NC'}
1623627950.099058,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A353XKDTUX10NC'}
1623627950.256926,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A353XKDTUX10NC'}
1623627950.705821,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A353XKDTUX10NC'}
1623627951.111973,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A353XKDTUX10NC'}
1623627951.622409,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A353XKDTUX10NC'}
1623627951.929411,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A353XKDTUX10NC'}
1623627952.241578,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A353XKDTUX10NC'}
1623627952.544547,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A353XKDTUX10NC'}
1623627952.851113,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A353XKDTUX10NC'}
1623627953.465568,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A353XKDTUX10NC'}
1623627954.387079,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627955.308591,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627956.048673,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A353XKDTUX10NC'}
1623627956.230242,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A353XKDTUX10NC'}
1623627956.952169,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A353XKDTUX10NC'}
