
1616534155.435636,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A7O82NXM2PI12'}
1616534156.063768,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A7O82NXM2PI12'}
1616534156.898235,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616534157.734271,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A7O82NXM2PI12'}
1616534157.734941,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A7O82NXM2PI12'}
1616534187.710441,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A7O82NXM2PI12'}
1616534189.071167,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534190.426365,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534190.550776,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534191.262562,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534191.470671,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534191.993367,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534192.939269,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A7O82NXM2PI12'}
1616534193.560157,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A7O82NXM2PI12'}
1616534196.380399,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A7O82NXM2PI12'}
1616534198.156755,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A7O82NXM2PI12'}
1616534200.455443,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A7O82NXM2PI12'}
1616534200.871719,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A7O82NXM2PI12'}
1616534201.388836,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A7O82NXM2PI12'}
1616534204.217915,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A7O82NXM2PI12'}
