
1616723833.907782,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10WRBLV9NMNH9'}
1616723868.587279,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A10WRBLV9NMNH9'}
1616723868.587833,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10WRBLV9NMNH9'}
1616723898.555157,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10WRBLV9NMNH9'}
1616723901.070873,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10WRBLV9NMNH9'}
1616723901.384745,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10WRBLV9NMNH9'}
1616723902.323145,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10WRBLV9NMNH9'}
1616723902.531824,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10WRBLV9NMNH9'}
1616723905.770696,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10WRBLV9NMNH9'}
1616723905.881239,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10WRBLV9NMNH9'}
1616723907.023043,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10WRBLV9NMNH9'}
1616723907.336457,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10WRBLV9NMNH9'}
1616723907.922078,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A10WRBLV9NMNH9'}
1616723908.860891,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10WRBLV9NMNH9'}
1616723909.426518,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10WRBLV9NMNH9'}
1616723913.290385,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10WRBLV9NMNH9'}
1616723913.605232,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10WRBLV9NMNH9'}
1616723914.850059,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10WRBLV9NMNH9'}
1616723915.378582,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10WRBLV9NMNH9'}
1616723915.58778,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10WRBLV9NMNH9'}
1616723918.306211,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723919.348536,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723920.91559,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723921.333178,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723921.54153,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723922.695564,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723923.63047,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10WRBLV9NMNH9'}
1616723923.840529,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10WRBLV9NMNH9'}
1616723924.466038,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10WRBLV9NMNH9'}
1616723926.444693,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A10WRBLV9NMNH9'}
1616723927.390698,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A10WRBLV9NMNH9'}
1616723928.017376,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A10WRBLV9NMNH9'}
1616723929.304678,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10WRBLV9NMNH9'}
1616723929.305356,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A10WRBLV9NMNH9'}
1616723959.247917,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10WRBLV9NMNH9'}
1616723964.470616,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10WRBLV9NMNH9'}
1616723964.498527,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10WRBLV9NMNH9'}
1616723965.343814,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10WRBLV9NMNH9'}
1616723965.619129,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10WRBLV9NMNH9'}
1616723966.455066,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10WRBLV9NMNH9'}
1616723966.545719,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10WRBLV9NMNH9'}
1616723967.290923,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10WRBLV9NMNH9'}
1616723967.60401,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10WRBLV9NMNH9'}
1616723968.335549,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10WRBLV9NMNH9'}
1616723968.337031,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10WRBLV9NMNH9'}
1616723969.486835,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A10WRBLV9NMNH9'}
1616723969.55905,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A10WRBLV9NMNH9'}
1616723970.215043,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10WRBLV9NMNH9'}
1616723970.424403,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10WRBLV9NMNH9'}
