
1616542649.094394,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CGQOJC28OVGN'}
1616542652.64673,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CGQOJC28OVGN'}
1616542652.768463,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CGQOJC28OVGN'}
1616542653.483559,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CGQOJC28OVGN'}
1616542653.794501,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CGQOJC28OVGN'}
1616542653.953409,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CGQOJC28OVGN'}
1616542654.213145,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CGQOJC28OVGN'}
1616542654.840169,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CGQOJC28OVGN'}
1616542654.993094,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CGQOJC28OVGN'}
1616542655.572537,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CGQOJC28OVGN'}
1616542656.614461,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CGQOJC28OVGN'}
1616542656.697372,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CGQOJC28OVGN'}
1616542657.241685,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CGQOJC28OVGN'}
1616542657.451763,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CGQOJC28OVGN'}
1616542657.868844,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CGQOJC28OVGN'}
1616542658.703134,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3CGQOJC28OVGN'}
1616542659.330395,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3CGQOJC28OVGN'}
1616542660.167594,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3CGQOJC28OVGN'}
1616542661.001242,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3CGQOJC28OVGN'}
1616542661.629915,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3CGQOJC28OVGN'}
1616542662.04686,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3CGQOJC28OVGN'}
1616542662.883616,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3CGQOJC28OVGN'}
1616542663.261219,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3CGQOJC28OVGN'}
1616542663.955228,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3CGQOJC28OVGN'}
1616542664.556923,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3CGQOJC28OVGN'}
1616542665.180196,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CGQOJC28OVGN'}
1616542666.641767,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
