
1621129458.269299,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129459.034961,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129459.646814,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129460.260805,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129460.864428,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129461.184904,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129462.110033,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129462.412913,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129463.035057,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129463.641201,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129464.161827,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129464.875753,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129465.491943,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129465.889078,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129466.715205,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129466.808222,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129497.126296,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129498.049351,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129498.354446,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129498.582695,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129499.582524,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129499.786566,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129500.196525,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129500.812334,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129501.216466,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129501.527296,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129502.653993,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129502.969989,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129503.269655,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129504.498026,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129505.312673,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129506.044107,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129506.649826,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129507.264345,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129507.577498,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129508.499061,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129509.130023,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129509.727702,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129510.642827,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129511.259368,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129511.491459,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129512.179787,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1R8A8BK2VN7RH'}
