
1619647382.504531,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647383.027587,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647383.492916,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647384.695206,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647385.530066,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647386.571211,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647386.958702,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647387.933155,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647388.246079,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647388.768781,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647389.605174,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647390.651088,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647391.17229,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647391.842893,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647392.316836,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647392.838174,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647393.254748,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647393.782051,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647394.625827,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647395.033096,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647395.453452,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647395.662403,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647396.185005,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647396.602135,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647396.997039,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647397.476239,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647398.064251,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647398.258975,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647398.795624,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647399.214172,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647399.944989,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647400.153153,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647400.88555,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647402.458438,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647402.572462,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647403.822218,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647404.504809,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647404.525858,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647434.931162,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647636.002154,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647636.213754,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647636.420249,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647636.831619,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647637.150533,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647637.713541,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647637.90081,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647638.403612,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647638.716907,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647639.134751,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647639.140508,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647640.286552,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647640.599114,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647641.01464,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647641.862914,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647642.478144,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647642.896433,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647642.938961,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647643.731478,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647644.148138,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647644.357341,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647644.771745,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647645.19339,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647646.133584,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647646.242518,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647646.969631,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647647.182486,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647647.958778,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647648.431691,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647648.800911,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647649.371248,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647649.489864,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647650.206254,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647651.063244,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647651.878668,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647653.463156,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647653.465344,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647683.615557,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647692.090649,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647692.720358,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647693.972251,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647694.388923,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647694.91227,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647695.328909,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647695.956428,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647696.268258,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647696.895745,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647697.417626,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647698.461981,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647698.775627,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647699.402696,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2AXY7I6TCRVP5'}
