
1621292475.178693,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292475.399016,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292475.693796,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292475.794858,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292475.975896,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292476.16468,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292476.356083,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292476.572474,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292476.818377,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292477.022114,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292477.177475,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292477.367346,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292477.538194,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292477.738048,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
