
1617301380.202106,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A26UIS59SY4NM6'}
1617301382.551699,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A26UIS59SY4NM6'}
1617301382.558102,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A26UIS59SY4NM6'}
1617301412.615872,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A26UIS59SY4NM6'}
1617301420.637894,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A26UIS59SY4NM6'}
1617301420.967519,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A26UIS59SY4NM6'}
1617301421.875534,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A26UIS59SY4NM6'}
1617301422.118196,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A26UIS59SY4NM6'}
1617301422.910272,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A26UIS59SY4NM6'}
1617301423.161783,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A26UIS59SY4NM6'}
1617301424.519075,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301424.937256,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301426.205585,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A26UIS59SY4NM6'}
1617301426.204821,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A26UIS59SY4NM6'}
1617301456.272326,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A26UIS59SY4NM6'}
1617301457.420898,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A26UIS59SY4NM6'}
1617301457.839066,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A26UIS59SY4NM6'}
1617301459.932553,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A26UIS59SY4NM6'}
1617301460.022837,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A26UIS59SY4NM6'}
1617301462.645081,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A26UIS59SY4NM6'}
1617301462.645836,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A26UIS59SY4NM6'}
1617301492.624054,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A26UIS59SY4NM6'}
1617301494.396104,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A26UIS59SY4NM6'}
1617301494.514601,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A26UIS59SY4NM6'}
1617301494.973316,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A26UIS59SY4NM6'}
1617301495.650127,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A26UIS59SY4NM6'}
1617301496.068444,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A26UIS59SY4NM6'}
1617301496.489196,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A26UIS59SY4NM6'}
1617301497.63397,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A26UIS59SY4NM6'}
1617301497.947766,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A26UIS59SY4NM6'}
1617301499.166012,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A26UIS59SY4NM6'}
1617301499.390901,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A26UIS59SY4NM6'}
1617301500.350737,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A26UIS59SY4NM6'}
1617301500.703721,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A26UIS59SY4NM6'}
1617301501.811716,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A26UIS59SY4NM6'}
1617301502.021928,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A26UIS59SY4NM6'}
1617301503.483889,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301503.692005,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301504.213989,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301504.73686,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301504.837334,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301505.363706,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301505.885316,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301506.513326,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301506.825994,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301507.243597,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301508.496935,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A26UIS59SY4NM6'}
1617301508.497747,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A26UIS59SY4NM6'}
1617301538.4746,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A26UIS59SY4NM6'}
1617301541.607156,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A26UIS59SY4NM6'}
1617301542.131246,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A26UIS59SY4NM6'}
1617301542.965186,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A26UIS59SY4NM6'}
1617301543.386799,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A26UIS59SY4NM6'}
