
1621110267.445841,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110267.850446,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110268.771519,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110268.89204,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110269.90918,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110270.106173,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110270.826877,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110271.540188,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110271.744281,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110272.362176,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110273.380021,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110273.89763,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110274.818058,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110274.818549,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110275.740902,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110275.741351,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110276.664459,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110276.815276,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110277.581705,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110277.681148,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110279.426953,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110279.428105,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110309.229363,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110338.101052,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110338.720791,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110339.335054,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110340.258764,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110340.379409,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110341.481763,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110341.482749,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110342.709521,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110343.645167,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110344.247633,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110344.862809,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110346.100011,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110346.705669,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110347.018865,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110347.630482,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110348.854185,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110349.782324,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3G9DL3KBPUHSG'}
