
1617148853.685073,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A147OXF9QMT2Z8'}
1617148854.470315,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A147OXF9QMT2Z8'}
1617148855.041403,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A147OXF9QMT2Z8'}
1617148855.645182,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A147OXF9QMT2Z8'}
1617148856.392927,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A147OXF9QMT2Z8'}
1617148857.096915,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A147OXF9QMT2Z8'}
1617148857.880852,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A147OXF9QMT2Z8'}
1617148859.553124,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A147OXF9QMT2Z8'}
1617148859.783694,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A147OXF9QMT2Z8'}
1617148889.861971,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A147OXF9QMT2Z8'}
1617148891.651989,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A147OXF9QMT2Z8'}
1617148892.046669,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A147OXF9QMT2Z8'}
1617148893.15317,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A147OXF9QMT2Z8'}
1617148893.91305,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A147OXF9QMT2Z8'}
1617148894.564466,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A147OXF9QMT2Z8'}
1617148895.340945,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A147OXF9QMT2Z8'}
1617148895.932949,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A147OXF9QMT2Z8'}
1617148897.452884,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A147OXF9QMT2Z8'}
1617148898.444919,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A147OXF9QMT2Z8'}
1617148899.025042,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A147OXF9QMT2Z8'}
1617148900.097943,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A147OXF9QMT2Z8'}
1617148900.620037,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A147OXF9QMT2Z8'}
1617148901.389029,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A147OXF9QMT2Z8'}
1617148902.016935,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A147OXF9QMT2Z8'}
1617148902.724687,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A147OXF9QMT2Z8'}
