
1619834720.004021,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2NC23YMQPXSYV'}
1619834720.943831,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2NC23YMQPXSYV'}
1619834721.655692,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2NC23YMQPXSYV'}
1619834722.510595,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2NC23YMQPXSYV'}
1619834724.078215,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2NC23YMQPXSYV'}
1619834724.70538,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2NC23YMQPXSYV'}
1619834725.957234,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2NC23YMQPXSYV'}
1619834726.271219,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2NC23YMQPXSYV'}
1619834727.211959,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2NC23YMQPXSYV'}
1619834733.896217,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2NC23YMQPXSYV'}
1619834734.316973,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2NC23YMQPXSYV'}
1619834735.045621,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2NC23YMQPXSYV'}
1619834735.671362,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2NC23YMQPXSYV'}
1619834736.298234,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2NC23YMQPXSYV'}
1619834736.925606,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2NC23YMQPXSYV'}
1619834738.179972,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2NC23YMQPXSYV'}
1619834738.492414,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2NC23YMQPXSYV'}
1619834739.118176,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2NC23YMQPXSYV'}
1619834739.745917,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2NC23YMQPXSYV'}
1619834740.372272,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2NC23YMQPXSYV'}
1619834741.311527,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2NC23YMQPXSYV'}
1619834742.251871,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2NC23YMQPXSYV'}
1619834743.192001,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2NC23YMQPXSYV'}
1619834744.131816,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2NC23YMQPXSYV'}
1619834744.758434,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2NC23YMQPXSYV'}
1619834745.907676,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2NC23YMQPXSYV'}
1619834749.042365,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2NC23YMQPXSYV'}
1619834749.043524,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2NC23YMQPXSYV'}
1619834751.23467,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2NC23YMQPXSYV'}
1619834752.487722,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2NC23YMQPXSYV'}
1619834753.114493,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2NC23YMQPXSYV'}
1619834755.203708,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2NC23YMQPXSYV'}
1619834756.143527,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2NC23YMQPXSYV'}
1619834779.332166,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2NC23YMQPXSYV'}
1619834785.59432,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2NC23YMQPXSYV'}
1619834786.538136,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2NC23YMQPXSYV'}
1619834789.67221,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2NC23YMQPXSYV'}
1619834792.492901,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2NC23YMQPXSYV'}
1619834793.432258,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2NC23YMQPXSYV'}
1619834793.768017,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2NC23YMQPXSYV'}
1619834794.372107,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2NC23YMQPXSYV'}
1619834795.312036,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2NC23YMQPXSYV'}
1619834796.565596,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2NC23YMQPXSYV'}
1619834827.587134,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2NC23YMQPXSYV'}
1619834827.901039,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2NC23YMQPXSYV'}
1619834828.213897,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2NC23YMQPXSYV'}
1619834828.84536,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2NC23YMQPXSYV'}
1619834828.846365,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2NC23YMQPXSYV'}
1619834832.042038,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2NC23YMQPXSYV'}
1619834832.39164,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2NC23YMQPXSYV'}
1619834832.439707,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2NC23YMQPXSYV'}
1619834833.645743,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2NC23YMQPXSYV'}
1619834833.959007,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2NC23YMQPXSYV'}
1619834834.90014,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2NC23YMQPXSYV'}
1619834836.467581,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2NC23YMQPXSYV'}
1619834836.469422,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2NC23YMQPXSYV'}
1619834836.781126,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2NC23YMQPXSYV'}
1619834837.718727,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2NC23YMQPXSYV'}
1619834837.720283,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2NC23YMQPXSYV'}
1619834838.659979,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2NC23YMQPXSYV'}
1619834840.225801,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2NC23YMQPXSYV'}
1619834840.235584,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2NC23YMQPXSYV'}
1619834840.853783,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2NC23YMQPXSYV'}
1619834843.881667,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2NC23YMQPXSYV'}
1619834843.88233,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2NC23YMQPXSYV'}
1619834843.958763,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2NC23YMQPXSYV'}
1619834845.970524,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2NC23YMQPXSYV'}
1619834845.972193,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2NC23YMQPXSYV'}
1619834846.910811,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2NC23YMQPXSYV'}
1619834846.968137,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2NC23YMQPXSYV'}
