
1614305139.046109,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305139.363166,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305140.299194,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305140.611014,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305140.8213,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305141.526438,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305141.866057,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305142.262479,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305142.773885,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305143.223592,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305143.746926,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305144.032585,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305144.685968,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305145.417236,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305145.940054,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305146.417557,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305146.774908,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305146.906002,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305147.272871,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305147.610359,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305148.029402,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305148.919537,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305148.917735,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305178.74397,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305180.120123,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305180.511921,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305180.727164,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305181.34804,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305181.661355,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305182.601001,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305182.914419,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305183.640929,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305183.958948,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305184.700149,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305185.003734,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305185.70207,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305186.152319,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305186.655127,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305187.103254,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305187.257795,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305187.927851,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2ONILC0LZKG6Y'}
