
1614294535.469345,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294536.425023,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294537.148528,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AXAO7UJYYEFCO'}
1614294537.454543,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AXAO7UJYYEFCO'}
1614294537.78212,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AXAO7UJYYEFCO'}
1614294537.905788,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AXAO7UJYYEFCO'}
1614294538.288907,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AXAO7UJYYEFCO'}
1614294539.439261,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXAO7UJYYEFCO'}
1614294539.518695,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AXAO7UJYYEFCO'}
1614294539.915788,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXAO7UJYYEFCO'}
1614294540.588518,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AXAO7UJYYEFCO'}
1614294540.797213,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AXAO7UJYYEFCO'}
1614294541.154055,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AXAO7UJYYEFCO'}
1614294542.05037,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXAO7UJYYEFCO'}
1614294542.120094,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXAO7UJYYEFCO'}
1614294542.463767,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXAO7UJYYEFCO'}
1614294543.303102,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AXAO7UJYYEFCO'}
1614294543.415312,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AXAO7UJYYEFCO'}
1614294544.243367,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXAO7UJYYEFCO'}
1614294544.558123,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXAO7UJYYEFCO'}
1614294544.86938,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXAO7UJYYEFCO'}
1614294545.333519,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXAO7UJYYEFCO'}
1614294545.705414,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXAO7UJYYEFCO'}
1614294546.03267,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXAO7UJYYEFCO'}
1614294546.753858,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXAO7UJYYEFCO'}
1614294547.067771,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXAO7UJYYEFCO'}
1614294547.190297,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXAO7UJYYEFCO'}
1614294548.527545,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294549.04838,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294550.824493,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AXAO7UJYYEFCO'}
1614294550.827278,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AXAO7UJYYEFCO'}
1614294580.800144,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AXAO7UJYYEFCO'}
1614294582.680462,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294582.916984,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294583.10252,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294585.606357,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294586.31508,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294586.858605,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294587.773382,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294588.150735,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294589.469662,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AXAO7UJYYEFCO'}
1614294590.098072,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AXAO7UJYYEFCO'}
1614294590.411855,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AXAO7UJYYEFCO'}
1614294591.03676,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXAO7UJYYEFCO'}
1614294591.925482,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AXAO7UJYYEFCO'}
1614294592.186025,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AXAO7UJYYEFCO'}
1614294593.126199,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AXAO7UJYYEFCO'}
1614294593.752732,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXAO7UJYYEFCO'}
1614294593.868339,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXAO7UJYYEFCO'}
1614294594.589398,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXAO7UJYYEFCO'}
1614294594.794454,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXAO7UJYYEFCO'}
1614294595.144156,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AXAO7UJYYEFCO'}
1614294595.841934,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AXAO7UJYYEFCO'}
1614294596.456504,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXAO7UJYYEFCO'}
1614294597.304438,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXAO7UJYYEFCO'}
1614294598.24831,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AXAO7UJYYEFCO'}
1614294598.662371,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AXAO7UJYYEFCO'}
1614294599.187346,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AXAO7UJYYEFCO'}
1614294599.812859,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXAO7UJYYEFCO'}
1614294601.068833,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AXAO7UJYYEFCO'}
1614294601.066167,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AXAO7UJYYEFCO'}
1614294624.460107,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294631.145857,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AXAO7UJYYEFCO'}
1614294631.876865,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294631.993617,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294632.196418,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294632.5054,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294632.632924,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294632.81732,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294633.130078,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294633.442857,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294633.558138,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294633.683692,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294634.487632,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXAO7UJYYEFCO'}
1614294634.582907,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXAO7UJYYEFCO'}
1614294635.534297,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294635.741349,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294635.883976,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
