
1619657549.854375,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2871R3LEPWMMK'}
1619657549.855309,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2871R3LEPWMMK'}
1619657550.003762,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2871R3LEPWMMK'}
1619657550.759647,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2871R3LEPWMMK'}
1619657551.522659,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2871R3LEPWMMK'}
1619657551.58544,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2871R3LEPWMMK'}
1619657552.462949,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2871R3LEPWMMK'}
1619657552.776058,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2871R3LEPWMMK'}
1619657553.612855,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2871R3LEPWMMK'}
1619657554.029803,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2871R3LEPWMMK'}
1619657554.587814,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2871R3LEPWMMK'}
1619657555.179926,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2871R3LEPWMMK'}
1619657555.595744,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2871R3LEPWMMK'}
1619657556.328063,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2871R3LEPWMMK'}
1619657557.162852,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2871R3LEPWMMK'}
1619657557.580924,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2871R3LEPWMMK'}
1619657558.034023,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2871R3LEPWMMK'}
1619657558.521587,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2871R3LEPWMMK'}
