
1614094941.365237,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3JESFPIKKY1BE'}
1614094945.202398,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3JESFPIKKY1BE'}
1614094948.572132,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JESFPIKKY1BE'}
1614094949.1938,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094954.630406,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3JESFPIKKY1BE'}
1614094955.466024,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3JESFPIKKY1BE'}
1614094955.988263,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3JESFPIKKY1BE'}
1614094956.301291,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3JESFPIKKY1BE'}
1614094957.555155,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3JESFPIKKY1BE'}
1614094957.557138,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3JESFPIKKY1BE'}
1614094987.532525,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3JESFPIKKY1BE'}
1614094988.890799,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3JESFPIKKY1BE'}
1614094989.463786,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3JESFPIKKY1BE'}
1614094990.457813,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3JESFPIKKY1BE'}
