
1619912927.671962,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1JADORW8YJNOT'}
1619912928.360392,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1JADORW8YJNOT'}
1619912928.459515,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1JADORW8YJNOT'}
1619912929.134736,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1JADORW8YJNOT'}
1619912929.323318,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1JADORW8YJNOT'}
1619912930.557445,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1JADORW8YJNOT'}
1619912931.285585,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1JADORW8YJNOT'}
1619912931.914068,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1JADORW8YJNOT'}
1619912932.224661,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1JADORW8YJNOT'}
1619912934.731432,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1JADORW8YJNOT'}
1619912935.064256,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1JADORW8YJNOT'}
1619912935.376116,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1JADORW8YJNOT'}
1619912936.614512,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1JADORW8YJNOT'}
1619912938.488761,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1JADORW8YJNOT'}
1619912942.979375,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1JADORW8YJNOT'}
1619912942.980483,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1JADORW8YJNOT'}
1619912972.797504,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1JADORW8YJNOT'}
1619912975.049622,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1JADORW8YJNOT'}
1619912976.302596,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1JADORW8YJNOT'}
1619912976.935014,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1JADORW8YJNOT'}
1619912976.9358,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1JADORW8YJNOT'}
1619912977.660167,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1JADORW8YJNOT'}
1619912978.377077,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1JADORW8YJNOT'}
1619912979.130254,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1JADORW8YJNOT'}
1619912979.268725,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1JADORW8YJNOT'}
1619912980.594284,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1JADORW8YJNOT'}
1619912980.595234,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1JADORW8YJNOT'}
1619912981.444185,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1JADORW8YJNOT'}
1619912981.838557,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1JADORW8YJNOT'}
