
1616364757.522954,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F41962'}
1616364758.962727,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F41962'}
1616364759.172967,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F41962'}
1616364759.821568,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F41962'}
1616364760.011681,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F41962'}
1616364760.32536,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F41962'}
1616364761.887705,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F41962'}
1616364762.723383,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'F41962'}
1616364763.558804,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'F41962'}
1616364764.394469,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'F41962'}
1616364764.708027,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F41962'}
1616364765.544221,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'F41962'}
1616364766.589346,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'F41962'}
1616364767.844396,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'F41962'}
1616364768.467954,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'F41962'}
1616364769.200024,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F41962'}
1616364769.336198,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F41962'}
1616364770.347934,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F41962'}
1616364771.080277,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F41962'}
1616364771.079597,F41962,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'F41962'}
1616364801.056141,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F41962'}
1616364803.355288,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'F41962'}
1616364803.437802,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'F41962'}
1616364804.08578,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F41962'}
1616364804.190247,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F41962'}
1616364805.027488,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'F41962'}
1616364805.137252,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'F41962'}
1616364805.653007,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F41962'}
1616364805.778012,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F41962'}
1616364806.906581,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'F41962'}
1616364807.845799,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F41962'}
1616364807.944085,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F41962'}
1616364808.472035,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F41962'}
1616364808.890148,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F41962'}
1616364809.145314,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F41962'}
1616364813.13527,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F41962'}
1616364813.381923,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F41962'}
1616364813.608784,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F41962'}
1616364813.903771,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F41962'}
1616364814.112373,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F41962'}
1616364814.529906,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F41962'}
1616364815.783875,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'F41962'}
1616364816.411021,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F41962'}
1616364817.037001,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F41962'}
1616364817.470865,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'F41962'}
1616364818.290353,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'F41962'}
1616364818.70906,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'F41962'}
1616364820.066827,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'F41962'}
1616364820.901749,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'F41962'}
1616364821.426414,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F41962'}
1616364822.22635,F41962,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'F41962'}
1616364822.227768,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F41962'}
1616364852.251111,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F41962'}
1616364858.137229,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'F41962'}
1616364858.303694,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'F41962'}
1616364859.234815,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F41962'}
1616364859.267945,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F41962'}
1616364861.533403,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'F41962'}
1616364861.573016,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'F41962'}
1616364862.055227,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F41962'}
1616364862.13021,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F41962'}
1616364862.604296,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'F41962'}
1616364862.89187,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'F41962'}
1616364863.380451,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F41962'}
1616364863.75493,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F41962'}
1616364864.788561,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F41962'}
1616364864.78995,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F41962'}
1616364866.373386,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F41962'}
1616364866.514909,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F41962'}
1616364867.172929,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'F41962'}
1616364868.236313,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'F41962'}
1616364868.243833,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'F41962'}
1616364868.426677,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F41962'}
1616364869.509086,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F41962'}
1616364869.508504,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F41962'}
1616364870.308219,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F41962'}
1616364870.48526,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'F41962'}
1616364871.456691,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'F41962'}
1616364871.457463,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'F41962'}
1616364872.501052,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F41962'}
1616364872.691114,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F41962'}
1616364873.127071,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F41962'}
1616364873.629772,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'F41962'}
1616364874.594327,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'F41962'}
1616364875.946487,F41962,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'F41962'}
1616364875.973665,F41962,{'stage': 'SAGAT', 'action': 'complete', 'score': 79, 'worker-id': 'F41962'}
1616364875.974164,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': 'F41962'}
1616364882.126247,F41962,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'F41962'}
1616364888.424525,F41962,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'F41962'}
1616364973.122314,F41962,{'stage': 0, 'action': 'opened-page', 'worker-id': 'F41962'}
1616364982.670488,F41962,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'F41962', 'stage': 0}
1616364983.425744,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7214285714285714,0.7757142857142857]', 'worker-id': 'F41962', 'stage': 0}
1616364984.875137,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7585714285714286,0.7957142857142857]', 'worker-id': 'F41962', 'stage': 0}
1616364985.518037,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7928571428571428,0.75]', 'worker-id': 'F41962', 'stage': 0}
1616364986.55981,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.8271428571428572,0.7257142857142858]', 'worker-id': 'F41962', 'stage': 0}
1616364987.028598,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.78,0.7028571428571428]', 'worker-id': 'F41962', 'stage': 0}
1616364987.501565,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6728571428571428,0.6671428571428571]', 'worker-id': 'F41962', 'stage': 0}
1616364987.70956,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5828571428571429,0.5971428571428572]', 'worker-id': 'F41962', 'stage': 0}
1616364988.753945,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.66,0.65]', 'worker-id': 'F41962', 'stage': 0}
1616364989.17094,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6728571428571428,0.6642857142857143]', 'worker-id': 'F41962', 'stage': 0}
1616364989.797002,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5128571428571429,0.5514285714285714]', 'worker-id': 'F41962', 'stage': 0}
1616364990.233903,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5185714285714286,0.5071428571428571]', 'worker-id': 'F41962', 'stage': 0}
1616364990.736793,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5085714285714286,0.5114285714285715]', 'worker-id': 'F41962', 'stage': 0}
1616364996.591607,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.4828571428571429,0.4828571428571429]', 'worker-id': 'F41962', 'stage': 0}
1616364997.109253,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5142857142857142,0.5228571428571429]', 'worker-id': 'F41962', 'stage': 0}
1616365000.868672,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5142857142857142,0.5457142857142857]', 'worker-id': 'F41962', 'stage': 0}
1616365005.464489,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7528571428571429,0.7871428571428571]', 'worker-id': 'F41962', 'stage': 0}
1616365006.195645,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7485714285714286,0.7828571428571428]', 'worker-id': 'F41962', 'stage': 0}
1616365006.404748,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.75,0.7842857142857143]', 'worker-id': 'F41962', 'stage': 0}
1616365006.667702,F41962,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'F41962', 'stage': 0}
1616365007.031127,F41962,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'F41962', 'stage': 0}
1616365007.240953,F41962,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'F41962', 'stage': 0}
1616365008.041433,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6585714285714286,0.8028571428571428]', 'worker-id': 'F41962', 'stage': 0}
1616365008.809832,F41962,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5642857142857143,0.9757142857142858]', 'worker-id': 'F41962', 'stage': 0}
