
1616100750.365492,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AZMOA8ONG0D2U'}
1616100750.677933,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AZMOA8ONG0D2U'}
1616100751.09641,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AZMOA8ONG0D2U'}
1616100751.346735,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AZMOA8ONG0D2U'}
1616100751.827144,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AZMOA8ONG0D2U'}
1616100752.619379,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100753.190542,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AZMOA8ONG0D2U'}
1616100753.499131,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AZMOA8ONG0D2U'}
1616100754.124642,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AZMOA8ONG0D2U'}
1616100754.647426,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AZMOA8ONG0D2U'}
1616100755.169283,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AZMOA8ONG0D2U'}
1616100755.587279,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AZMOA8ONG0D2U'}
1616100756.110175,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AZMOA8ONG0D2U'}
1616100756.840355,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AZMOA8ONG0D2U'}
1616100757.258088,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AZMOA8ONG0D2U'}
1616100757.676892,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AZMOA8ONG0D2U'}
1616100758.303427,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AZMOA8ONG0D2U'}
1616100758.930241,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AZMOA8ONG0D2U'}
1616100759.401602,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AZMOA8ONG0D2U'}
1616100759.974776,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AZMOA8ONG0D2U'}
1616100760.913943,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AZMOA8ONG0D2U'}
1616100760.939668,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AZMOA8ONG0D2U'}
1616100790.891623,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AZMOA8ONG0D2U'}
