
1614274236.598423,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A28CTAQZT20JTM'}
1614274245.58054,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A28CTAQZT20JTM'}
1614274246.103197,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A28CTAQZT20JTM'}
1614274246.939232,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A28CTAQZT20JTM'}
1614274247.668528,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A28CTAQZT20JTM'}
1614274251.639752,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A28CTAQZT20JTM'}
1614274252.682959,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A28CTAQZT20JTM'}
1614274255.503824,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A28CTAQZT20JTM'}
1614274256.024985,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A28CTAQZT20JTM'}
1614274257.489766,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A28CTAQZT20JTM'}
1614274260.013396,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A28CTAQZT20JTM'}
1614274261.249609,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A28CTAQZT20JTM'}
1614274262.711759,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A28CTAQZT20JTM'}
1614274263.797916,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A28CTAQZT20JTM'}
1614274265.320977,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A28CTAQZT20JTM'}
1614274266.158782,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A28CTAQZT20JTM'}
1614274268.143653,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A28CTAQZT20JTM'}
1614274270.753618,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A28CTAQZT20JTM'}
1614274277.019628,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A28CTAQZT20JTM'}
1614274277.022056,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A28CTAQZT20JTM'}
1614274286.632578,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A28CTAQZT20JTM'}
1614274286.634935,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A28CTAQZT20JTM'}
1614274307.206254,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A28CTAQZT20JTM'}
1614274307.623418,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A28CTAQZT20JTM'}
1614274309.713596,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A28CTAQZT20JTM'}
1614274314.310659,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A28CTAQZT20JTM'}
1614274315.876188,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A28CTAQZT20JTM'}
1614274316.505037,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A28CTAQZT20JTM'}
