
1614298908.518085,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.522451,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.530992,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.532512,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.557289,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.577784,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.603762,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.610843,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.615071,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.620278,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.636102,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.64669,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.685758,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.686638,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.693776,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.705808,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.714818,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.719254,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.763199,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.767728,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.773022,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.784687,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.793452,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.791811,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.837562,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.849247,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.855919,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.866507,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.86712,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.876667,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.961137,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.957283,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.96801,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.964186,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.977719,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AG9LMLEPXP2YC'}
1614298908.979886,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.047617,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.052815,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.053552,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.061746,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.063635,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.067898,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.129168,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.131543,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.141181,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.148831,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.147435,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.153216,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.206223,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.209645,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.230583,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.232842,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.236226,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.239534,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AG9LMLEPXP2YC'}
