
1614300258.799792,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300260.676881,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300261.095173,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300262.034558,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300262.244396,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300262.870078,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300265.169287,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300268.824264,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300269.451296,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300271.596657,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300272.062705,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300273.002602,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300277.955301,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3NXT3OVGL7QNR'}
