
1614016031.979919,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3PYD7EU2WFST6'}
1614016034.073637,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3PYD7EU2WFST6'}
1614016034.283497,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3PYD7EU2WFST6'}
1614016034.909589,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3PYD7EU2WFST6'}
1614016036.37245,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3PYD7EU2WFST6'}
1614016036.686138,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3PYD7EU2WFST6'}
1614016037.103314,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3PYD7EU2WFST6'}
1614016039.087987,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3PYD7EU2WFST6'}
1614016039.115848,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3PYD7EU2WFST6'}
1614016040.24188,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3PYD7EU2WFST6'}
1614016040.35999,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3PYD7EU2WFST6'}
1614016041.071992,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3PYD7EU2WFST6'}
1614016041.804033,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3PYD7EU2WFST6'}
1614016042.014875,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3PYD7EU2WFST6'}
1614016045.250463,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3PYD7EU2WFST6'}
1614016045.410947,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3PYD7EU2WFST6'}
1614016045.877449,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3PYD7EU2WFST6'}
1614016047.04048,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3PYD7EU2WFST6'}
1614016047.447153,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3PYD7EU2WFST6'}
1614016048.416061,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3PYD7EU2WFST6'}
1614016048.592862,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3PYD7EU2WFST6'}
1614016049.220166,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3PYD7EU2WFST6'}
1614016053.18896,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3PYD7EU2WFST6'}
1614016053.190854,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A3PYD7EU2WFST6'}
1614294985.933473,A3PYD7EU2WFST6,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3PYD7EU2WFST6'}
1614295013.473177,A3PYD7EU2WFST6,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3PYD7EU2WFST6'}
1614295057.449971,A3PYD7EU2WFST6,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3PYD7EU2WFST6'}
1614295062.587798,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3PYD7EU2WFST6'}
