
1614019850.745817,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019850.884048,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019851.162839,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019851.476082,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019851.609786,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019851.781878,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019852.939181,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019853.151298,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019853.669383,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019854.610628,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019855.028218,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019855.444881,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019856.280519,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019856.803576,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019861.400114,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019861.906902,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019862.444091,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019862.861823,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019863.278775,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019864.262609,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019864.610194,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019864.955192,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019866.308077,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019867.25371,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019867.665936,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019868.083802,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019868.607729,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019869.023606,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019869.441608,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1ZI4VU6650Q8B'}
