
1614301545.765227,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301548.167318,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301548.471519,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301548.898149,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301549.52556,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301549.936908,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301550.987739,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301551.196378,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301553.184671,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301553.494238,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301554.172788,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301554.538726,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301554.955515,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301555.897353,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301556.105319,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301556.524168,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301556.949622,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301557.358871,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301561.746556,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301561.749572,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301566.655953,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301566.657469,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301594.337179,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2MOKIEQZ0OF2M'}
