
1616164483.141729,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164483.768858,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164484.499951,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164485.022714,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164485.962186,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164486.903086,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164487.737434,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164514.685996,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164514.687388,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164544.662827,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164548.527721,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164549.050824,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164550.09489,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164550.512824,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1NCO5A4JYHGKQ'}
