
1614306666.275712,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10AVWALIHR4UQ'}
1614306666.833096,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10AVWALIHR4UQ'}
1614306672.416697,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10AVWALIHR4UQ'}
1614306672.716463,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10AVWALIHR4UQ'}
1614306677.393704,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A10AVWALIHR4UQ'}
1614306677.898457,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A10AVWALIHR4UQ'}
1614306679.26394,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10AVWALIHR4UQ'}
1614306684.90159,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A10AVWALIHR4UQ'}
1614306685.263271,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10AVWALIHR4UQ'}
1614306687.513904,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A10AVWALIHR4UQ'}
1614306687.675367,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A10AVWALIHR4UQ'}
1614306687.929739,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A10AVWALIHR4UQ'}
1614306688.66241,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10AVWALIHR4UQ'}
1614306712.057655,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10AVWALIHR4UQ'}
1614306712.05877,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A10AVWALIHR4UQ'}
1614306742.035625,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10AVWALIHR4UQ'}
1614306748.09462,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10AVWALIHR4UQ'}
1614306748.774427,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10AVWALIHR4UQ'}
1614306749.347634,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10AVWALIHR4UQ'}
1614306749.359695,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10AVWALIHR4UQ'}
1614306749.974451,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10AVWALIHR4UQ'}
1614306749.993517,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10AVWALIHR4UQ'}
