
1614015238.857837,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015239.118509,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015239.42751,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015240.422742,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015240.510683,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015241.152985,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015241.675561,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015243.248662,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015243.663264,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015244.70518,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015246.271354,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015246.48084,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015246.898299,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015247.437561,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015247.635071,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015248.048169,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015248.779299,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015248.877836,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015249.40528,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015249.769296,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015250.346113,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015251.600222,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015252.01757,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015252.853312,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015255.010906,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015255.255518,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015255.605864,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015258.289673,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015259.120436,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015260.696085,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015261.419886,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015261.737144,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015262.569586,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015262.985001,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015263.403422,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015263.717228,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015264.553543,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015264.969926,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015265.392109,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015266.225214,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015267.790068,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015269.359792,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015269.361976,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015284.818113,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015284.878704,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015285.862088,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015286.280882,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015286.908321,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015287.000294,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015287.958266,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015288.066113,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015289.13344,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015289.413338,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015289.797841,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015289.959099,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015291.295735,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015291.428583,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015292.233787,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015292.965517,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2P8V5SKYLL5I4'}
