
1616203426.419145,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203427.882747,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203431.850817,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203435.402124,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203436.552778,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203438.332331,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203440.207753,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203440.415296,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203441.253325,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203441.381554,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203442.817819,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203444.280071,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203445.223719,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203446.682866,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203447.100894,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203449.930097,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203452.323735,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203456.083197,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203456.084024,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203477.182976,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203477.184134,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203488.671368,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203488.740229,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203489.924586,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203491.701999,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203491.807907,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203493.058469,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203495.983506,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A18BBM4JCRJCZ7'}
