
1614017619.374098,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1BIJGB7XA0GME'}
1614017621.360416,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1BIJGB7XA0GME'}
1614017621.88012,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1BIJGB7XA0GME'}
1614017623.134873,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1BIJGB7XA0GME'}
1614017624.387959,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1BIJGB7XA0GME'}
1614017624.806123,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1BIJGB7XA0GME'}
1614017625.326968,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1BIJGB7XA0GME'}
1614017626.476127,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1BIJGB7XA0GME'}
1614017626.60903,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1BIJGB7XA0GME'}
1614017627.417236,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1BIJGB7XA0GME'}
1614017629.087657,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1BIJGB7XA0GME'}
1614017629.221134,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1BIJGB7XA0GME'}
1614017629.68684,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1BIJGB7XA0GME'}
1614017630.968621,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1BIJGB7XA0GME'}
1614017631.177135,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1BIJGB7XA0GME'}
1614017631.80294,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1BIJGB7XA0GME'}
1614017633.37013,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1BIJGB7XA0GME'}
1614017633.578568,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1BIJGB7XA0GME'}
1614017634.311983,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1BIJGB7XA0GME'}
1614017644.129913,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1BIJGB7XA0GME'}
1614017644.132261,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1BIJGB7XA0GME'}
1614017647.36669,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1BIJGB7XA0GME'}
1614017647.367374,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1BIJGB7XA0GME'}
1614017678.011439,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1BIJGB7XA0GME'}
1614017688.148156,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1BIJGB7XA0GME'}
1614017688.729892,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1BIJGB7XA0GME'}
1614017689.252601,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1BIJGB7XA0GME'}
1614017690.610323,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1BIJGB7XA0GME'}
1614017691.028361,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1BIJGB7XA0GME'}
1614017691.550639,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1BIJGB7XA0GME'}
1614017692.071877,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1BIJGB7XA0GME'}
1614017692.490545,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1BIJGB7XA0GME'}
1614017694.581405,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1BIJGB7XA0GME'}
1614017696.041211,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1BIJGB7XA0GME'}
1614017697.190051,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1BIJGB7XA0GME'}
