
1614295181.810219,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295182.118712,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295182.91897,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295182.921373,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295183.130597,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295184.52188,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295184.834108,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295184.937081,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295185.565274,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295185.68022,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295186.191683,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295186.821582,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295186.914472,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295187.446588,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295187.628741,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295194.236649,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295194.560982,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295194.671877,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295196.010724,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295196.013242,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295213.03919,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295213.158027,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295214.07959,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295214.503414,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295215.126123,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295215.855308,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295216.483357,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295216.900467,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295217.835816,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295217.893961,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295218.362151,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295218.465588,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295218.779627,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295219.197623,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295219.7224,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295220.349829,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295220.786395,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295221.285612,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N6DWJC7P3HSI'}
