
1616347637.457739,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F83626'}
1616347640.280656,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'F83626'}
1616347640.283246,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F83626'}
1616347670.257532,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F83626'}
1616347674.699584,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616347675.264709,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616347675.899147,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616347676.428652,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616347676.840344,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616347678.198935,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616347679.611727,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'F83626'}
1616347680.383414,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F83626'}
1616347681.218214,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'F83626'}
1616347682.003065,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F83626'}
1616347682.889273,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F83626'}
1616347683.934428,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'F83626'}
1616347684.985933,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'F83626'}
1616347685.927581,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'F83626'}
1616347686.560366,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'F83626'}
1616347687.387596,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'F83626'}
1616347687.972738,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F83626'}
1616347688.637073,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'F83626'}
1616347689.475444,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'F83626'}
1616347690.628861,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F83626'}
1616347691.245895,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
1616347692.290914,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F83626'}
1616347693.544999,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'F83626'}
1616347693.552147,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F83626'}
1616347723.522429,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F83626'}
1616347724.7686,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F83626'}
1616347725.50758,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F83626'}
1616347725.858053,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F83626'}
1616347726.446724,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F83626'}
1616347727.516617,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F83626'}
1616347728.116262,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F83626'}
1616347728.638347,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F83626'}
1616347729.597609,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F83626'}
1616347730.205297,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F83626'}
1616347731.564104,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616347731.878084,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616347733.338797,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'F83626'}
1616347734.07057,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'F83626'}
1616347735.218717,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'F83626'}
1616347735.95002,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F83626'}
1616347736.576773,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F83626'}
1616347737.511751,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'F83626'}
1616347738.352358,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'F83626'}
1616347739.189372,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'F83626'}
1616347739.959202,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'F83626'}
1616347740.859215,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'F83626'}
1616347741.695021,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'F83626'}
1616347743.053908,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F83626'}
1616347743.888108,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
1616347744.828173,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F83626'}
1616347747.649293,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'F83626'}
1616347747.651199,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F83626'}
1616347777.627065,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F83626'}
1616347779.922951,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F83626'}
