
1614305296.346863,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305296.45671,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305297.348372,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305297.600344,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305298.540877,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305298.645717,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305299.690571,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305299.767437,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305300.838133,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305300.95024,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305301.883428,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305302.195799,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305303.03193,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305303.166287,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305304.291886,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305304.698766,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305306.478678,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305306.791027,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305308.360039,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305308.362423,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305308.447196,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'complete', 'score': 46, 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305401.019803,A2PUL3ZDXOW0VZ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305407.419569,A2PUL3ZDXOW0VZ,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305501.800984,A2PUL3ZDXOW0VZ,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305510.887002,A2PUL3ZDXOW0VZ,{'action': 'select-vehicle', 'target': 'UAV 1', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
1614305516.634982,A2PUL3ZDXOW0VZ,{'action': 'add-valid-waypoint', 'target': 'UAV 1', 'location': '[0.5585714285714286,0.7985714285714286]', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
1614305532.248524,A2PUL3ZDXOW0VZ,{'action': 'add-valid-waypoint', 'target': 'UAV 1', 'location': '[0.5828571428571429,0.7371428571428571]', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
1614305537.932835,A2PUL3ZDXOW0VZ,{'action': 'add-valid-waypoint', 'target': 'UAV 1', 'location': '[0.8628571428571429,0.7714285714285715]', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
