
1614298676.31139,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A21ZK49H9LSSRY'}
1614298676.938332,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A21ZK49H9LSSRY'}
1614298677.357428,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A21ZK49H9LSSRY'}
1614298677.734512,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A21ZK49H9LSSRY'}
1614298678.40206,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A21ZK49H9LSSRY'}
1614298678.997767,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A21ZK49H9LSSRY'}
1614298679.639965,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A21ZK49H9LSSRY'}
1614298680.595205,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A21ZK49H9LSSRY'}
1614298681.4302,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A21ZK49H9LSSRY'}
1614298681.847943,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A21ZK49H9LSSRY'}
1614298682.161653,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A21ZK49H9LSSRY'}
1614298682.579684,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A21ZK49H9LSSRY'}
1614298682.997724,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A21ZK49H9LSSRY'}
1614298683.415485,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A21ZK49H9LSSRY'}
1614298684.146466,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A21ZK49H9LSSRY'}
