
1614020643.712534,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020644.206461,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020645.146446,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020645.878446,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020646.819377,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020646.822883,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020647.239179,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020647.237293,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020647.280969,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020648.493171,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020650.891358,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020650.91728,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020653.295141,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020653.299266,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020653.358477,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020655.173211,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2JQ5M7U6BRDL9'}
