
1614013272.391403,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013273.122465,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013273.343104,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013273.853899,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013274.480624,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013275.421288,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013275.944833,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013276.360541,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013276.883062,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013277.196927,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013277.718867,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013278.344915,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013278.763282,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013279.181308,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013280.539466,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013281.165698,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013281.583598,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013282.209889,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013282.524582,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013282.85,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013283.362246,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013283.98576,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013284.613336,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013285.207792,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013285.553399,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013285.868207,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013286.284017,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013287.956595,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013287.958244,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013318.036914,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013341.954971,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013342.686173,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013343.313189,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013343.733523,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013344.56708,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013345.192744,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013345.61055,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013346.343258,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013346.6554,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013347.386701,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1B5SSGMTAQ9B5'}
