
1616195505.890265,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '861280728'}
1616195506.098464,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '861280728'}
1616195507.456039,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '861280728'}
1616195507.979831,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '861280728'}
1616195508.396104,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '861280728'}
1616195510.694579,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '861280728'}
1616195511.007384,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '861280728'}
1616195511.738516,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '861280728'}
1616195512.469783,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195512.685892,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195513.097182,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195514.504406,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '861280728'}
1616195515.081204,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '861280728'}
1616195519.500129,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '861280728'}
1616195519.886183,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '861280728'}
1616195520.408387,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '861280728'}
1616195520.826065,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '861280728'}
1616195521.13956,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '861280728'}
1616195524.273889,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '861280728'}
1616195524.754755,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '861280728'}
1616195525.4226,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '861280728'}
1616195526.153886,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '861280728'}
1616195526.536176,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '861280728'}
1616195527.489167,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '861280728'}
1616195527.928765,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '861280728'}
1616195531.166712,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '861280728'}
1616195531.375234,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '861280728'}
1616195531.727125,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '861280728'}
1616195532.644741,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '861280728'}
1616195533.04689,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '861280728'}
1616195533.360299,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '861280728'}
1616195537.120645,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '861280728'}
1616195537.121417,861280728,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': '861280728'}
1616195567.104418,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '861280728'}
1616195568.977971,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '861280728'}
1616195569.813343,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '861280728'}
1616195572.111513,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '861280728'}
1616195572.424123,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '861280728'}
1616195573.260353,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '861280728'}
1616195573.410921,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '861280728'}
1616195573.677804,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '861280728'}
1616195574.513438,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '861280728'}
1616195574.734919,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '861280728'}
1616195575.662468,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '861280728'}
1616195575.975655,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '861280728'}
1616195576.70693,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '861280728'}
1616195577.021271,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '861280728'}
1616195577.542221,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '861280728'}
1616195577.764125,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '861280728'}
1616195580.46744,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '861280728'}
1616195580.675769,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '861280728'}
1616195581.92939,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '861280728'}
1616195582.764756,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195582.877999,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195583.287614,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195584.122578,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '861280728'}
1616195584.331576,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '861280728'}
1616195584.640227,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '861280728'}
1616195586.524932,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '861280728'}
1616195594.113582,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '861280728'}
1616195594.59166,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '861280728'}
1616195598.223524,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '861280728'}
1616195598.288173,861280728,{'stage': 'SAGAT', 'action': 'complete', 'score': 74, 'worker-id': '861280728'}
1616195598.29279,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '861280728'}
1616195598.331869,861280728,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': '861280728'}
1616195598.333526,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '861280728'}
1616195598.334616,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': '861280728'}
1616195602.691844,861280728,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': '861280728'}
1616195607.415607,861280728,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '861280728'}
1616195791.61689,861280728,{'stage': 0, 'action': 'opened-page', 'worker-id': '861280728'}
1616195797.199783,861280728,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': '861280728', 'stage': 0}
1616195802.318066,861280728,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.4742857142857143,0.6957142857142857]', 'worker-id': '861280728', 'stage': 0}
1616195814.851991,861280728,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': '861280728', 'stage': 0}
1616195817.879966,861280728,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': '861280728', 'stage': 0}
