
1616189305.156388,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1VWP7HOSGKATD'}
1616189306.89694,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1VWP7HOSGKATD'}
1616189306.906981,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1VWP7HOSGKATD'}
1616189307.208133,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1VWP7HOSGKATD'}
1616189312.117765,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189313.579744,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1VWP7HOSGKATD'}
1616189314.416995,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1VWP7HOSGKATD'}
1616189314.418361,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1VWP7HOSGKATD'}
1616189315.369337,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1VWP7HOSGKATD'}
1616189317.548896,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1VWP7HOSGKATD'}
1616189317.566069,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1VWP7HOSGKATD'}
1616189317.966369,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1VWP7HOSGKATD'}
1616189318.280336,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1VWP7HOSGKATD'}
1616189318.59387,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1VWP7HOSGKATD'}
1616189319.115927,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1VWP7HOSGKATD'}
1616189319.23701,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1VWP7HOSGKATD'}
1616189319.848869,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1VWP7HOSGKATD'}
1616189319.999192,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1VWP7HOSGKATD'}
1616189320.480412,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1VWP7HOSGKATD'}
1616189320.891281,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1VWP7HOSGKATD'}
